225 -150 120 1250.16
226 -150 150 1250.16
227 -150 180 1250.16
228 -150 210 1250.16
229 -150 240 1250.16
230 -150 270 1250.16
231 -150 300 1250.16
232 -150 330 1250.16
233 -150 360 1250.16
234 -150 390 1250.16
235 -150 420 1250.16
236 -120 -420 1250.16
237 -120 -390 1250.16
238 -120 -360 1250.16
239 -120 -330 1250.16
240 -120 -300 1250.16
241 -120 -270 1250.16
242 -120 -240 1250.16
243 -120 -210 1250.16
244 -120 -180 1250.16
245 -120 -150 1250.16
246 -120 -120 1250.16
247 -120 -90 1250.16
248 -120 -60 1250.16
249 -120 60 1250.16
250 -120 90 1250.16
251 -120 120 1250.16
252 -120 150 1250.16
253 -120 180 1250.16
254 -120 210 1250.16
255 -120 240 1250.16
256 -120 270 1250.16
257 -120 300 1250.16
258 -120 330 1250.16
259 -120 360 1250.16
260 -120 390 1250.16
261 -120 420 1250.16
262 -90 -420 1250.16
263 -90 -390 1250.16
264 -90 -360 1250.16
265 -90 -330 1250.16
266 -90 -300 1250.16
267 -90 -270 1250.16
268 -90 -240 1250.16
269 -90 -210 1250.16
270 -90 -180 1250.16
271 -90 -150 1250.16
272 -90 -120 1250.16
273 -90 -90 1250.16
274 -90 90 1250.16
275 -90 120 1250.16
276 -90 150 1250.16
277 -90 180 1250.16
278 -90 210 1250.16
279 -90 240 1250.16
280 -90 270 1250.16
281 -90 300 1250.16
282 -90 330 1250.16
283 -90 360 1250.16
284 -90 390 1250.16
285 -90 420 1250.16
286 -60 -450 1250.16
287 -60 -420 1250.16
288 -60 -390 1250.16
289 -60 -360 1250.16
290 -60 -330 1250.16
291 -60 -300 1250.16
292 -60 -270 1250.16
293 -60 -240 1250.16
294 -60 -210 1250.16
295 -60 -180 1250.16
296 -60 -150 1250.16
297 -60 -120 1250.16
298 -60 120 1250.16
299 -60 150 1250.16
300 -60 180 1250.16
301 -60 210 1250.16
302 -60 240 1250.16
303 -60 270 1250.16
304 -60 300 1250.16
305 -60 330 1250.16
306 -60 360 1250.16
307 -60 390 1250.16
308 -60 420 1250.16
